Name,Parish,Price,Bedrooms,Bathrooms,HasGarden,HasGarage,Status,Market,MarketType,PropertyType,Longitude,Latitude
"Mariposa","FOREST","780000.00","3","1","true","true","AVAILABLE","Local","Buy","House","-2.6062593","49.4304905"
"Baie Lazare","ST_SAVIOUR","1095000.00","4","2","true","true","AVAILABLE","Local","Buy","House","-2.6314250","49.4608259"
"Elland Place","ST_SAMPSON","435000.00","1","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5219490","49.4831458"
"Inveraray","VALE","895000.00","4","2","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5118298","49.4960590"
"Les Buttieres","CASTEL","1250000.00","4","3","true",,"AVAILABLE","Local","Buy","House","-2.5927777","49.4751278"
"Calais Farm House","ST_MARTINS","595000.00",,,"true",,"AVAILABLE","Local","Buy","House","-2.5382182","49.4325878"
"Trevellion","ST_SAMPSON","675000.00","2","1","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5312600","49.4836200"
"Mae House","ST_MARTINS","795000.00","4","3","true",,"AVAILABLE","Local","Buy","House","-2.5488200","49.4428199"
"South Flat","ST_PETER_PORT","515000.00","2","1",,,"AVAILABLE","Local","Buy","Semi-Detached","-2.5542783","49.4505016"
"L'Abreuvoir","ST_SAMPSON","675000.00","3","1","true",,"AVAILABLE","Local","Buy","House","-2.5244879","49.4832400"
"La Croisie","FOREST","995000.00","4","1","true",,"AVAILABLE","Local","Buy","Cottage","-2.5896623","49.4294238"
"Estate House","ST_PETER_PORT",,,,"true",,"AVAILABLE","Local","Buy","Office","-2.5390443","49.4573077"
"Les Eperons","CASTEL","360000.00","1","1","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5850544","49.4770613"
"No.7 Sycamore Avenue","ST_SAMPSON","795000.00","3","3","true",,"AVAILABLE","Local","Buy","Warehouse","-2.5262959","49.4763260"
"No.4 Sycamore Avenue","ST_SAMPSON","845000.00","3","3","true",,"AVAILABLE","Local","Buy","Warehouse","-2.5264730","49.4763919"
"Les Roches De Faye","VALE","1450000.00","3","2","true",,"AVAILABLE","Open","Buy","Bungalow","-2.5526520","49.4936220"
"La Laiterie","ST_MARTINS","545000.00","3","1","true",,"AVAILABLE","Local","Buy","Cottage","-2.5443894","49.4387969"
"10, Infinity Gardens","ST_PETER_PORT","765000.00","4","2","true",,"AVAILABLE","Local","Buy","Terraced","-2.5497136","49.4665557"
"La Porte Au Nord","ST_SAMPSON","635000.00","3","2","true","true","AVAILABLE","Local","Buy","House","-2.5231800","49.4827670"
"La Maison Des Ours","ST_PETER_PORT","540000.00",,,"true",,"AVAILABLE","Local","Buy","Terraced","-2.5354614","49.4626002"
"Les Blancs Bois","CASTEL","675000.00","2","2","true","true","AVAILABLE","Local","Buy","Apartment","-2.5723780","49.4734580"
"L'Etoile Du Matin","CASTEL","2900000.00","4","3","true",,"AVAILABLE","Open","Buy","House","-2.6218520","49.4573520"
"Aqir","CASTEL","675000.00","2","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5864277","49.4775588"
"Frenchay House","ST_PETER_PORT","1695000.00","6","5","true","true","AVAILABLE","Local","Buy","Georgian","-2.5375559","49.4516879"
"The Beach View","VALE","499000.00","2","1","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5517400","49.4933740"
"Beauregard","ST_SAMPSON","895000.00","3","3","true","true","AVAILABLE","Local","Buy","House","-2.5573054","49.4807391"
"Roustel House","ST_PETER_PORT","625000.00","2","2",,,"AVAILABLE","Local","Buy","Apartment","-2.5347390","49.4594730"
"Demie Shard","ST_SAMPSON","1100000.00",,,"true",,"AVAILABLE","Local","Buy","House","-2.5230910","49.4831160"
"Hanois House","ST_PETER_PORT","650000.00","2","2",,,"AVAILABLE","Local","Buy","Apartment","-2.5349110","49.4595429"
"Roustel House","ST_PETER_PORT","650000.00","2","2",,,"AVAILABLE","Local","Buy","Apartment","-2.5347390","49.4594730"
"La Cachette","ST_SAMPSON","445000.00","2","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5306350","49.4748290"
"La Porte Au Nord","ST_SAMPSON","1295000.00","5","3",,"true","AVAILABLE","Local","Buy","House","-2.5551870","49.4737999"
"Apartment 4 Ebenezer Church","ST_PETER_PORT","450000.00","1","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5470932","49.4567610"
"Apartment 1","ST_PETER_PORT","435000.00","1","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5470454","49.4567610"
"Apartment 8","ST_PETER_PORT","440000.00","1","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5471210","49.4567610"
"Apartment 10","ST_PETER_PORT","450000.00","1","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5471210","49.4567881"
"Notre Reve","VALE","695000.00","3","1","true","true","AVAILABLE","Local","Buy","House","-2.5216639","49.4950328"
"Le Coquibus","ST_PETER_PORT","645000.00","3","1","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5572849","49.4640521"
"Pinoso","VALE","675000.00","4","1",,,"AVAILABLE","Local","Buy","House","-2.5223469","49.4875838"
"Batteleur","VALE",,"7","7","true","true","AVAILABLE","Open","Buy","Terraced","-2.5266190","49.4962420"
"Petite Bruyere","ST_PETERS","1620000.00",,,"true","true","AVAILABLE","Open","Buy","Bungalow","-2.6488073","49.4295192"
"Old Mill New Development","ST_MARTINS",,"6","5","true","true","AVAILABLE","Open","Buy","Terraced","-2.5524390","49.4452398"
"Mooroopna","ST_PETER_PORT","430000.00","2","1",,,"AVAILABLE","Local","Buy","Terraced","-2.5360990","49.4607120"
"Two Parking Spaces","ST_PETER_PORT","80000.00",,,,,"AVAILABLE","Open","Buy","Terraced","-2.5347650","49.4594919"
"Granville","ST_MARTINS","845000.00","3","3","true","true","AVAILABLE","Local","Buy","House","-2.5737839","49.4348778"
"Les Quatre Acres","CASTEL","2500000.00",,,"true","true","AVAILABLE","Open","Buy","House","-2.6087218","49.4584926"
"Les Fontenelles Mews","ST_PETER_PORT","1250000.00","4","4","true",,"AVAILABLE","Open","Buy","House","-2.5473309","49.4548270"
"Beckingham","ST_PETER_PORT","640000.00","6","2","true",,"AVAILABLE","Local","Buy","Terraced","-2.5419079","49.4518648"
"Homelea","ST_PETER_PORT","470000.00","3","1","true",,"AVAILABLE","Local","Buy","House","-2.5453260","49.4529390"
"Calais Cottage Lodge","ST_MARTINS","1695000.00","5","4",,,"AVAILABLE","Open","Buy","House","-2.5404650","49.4345039"
"Les Ruisseaux","CASTEL","835000.00",,,"true","true","AVAILABLE","Local","Buy","Semi-Detached","-2.6017340","49.4725737"
"2 Clos Des Pommiers","VALE","650000.00","2","2","true",,"AVAILABLE","Local","Buy","House","-2.5278149","49.4887688"
"Driftwood","ST_PETER_PORT",,"3","3","true","true","AVAILABLE","Open","Buy","Bungalow","-2.5360870","49.4428600"
"MacQuarie","ST_PETER_PORT","515000.00",,,"true",,"AVAILABLE","Local","Buy","Terraced","-2.5613594","49.4597284"
"Units 10 & 11","ST_PETER_PORT","870000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5464310","49.4568439"
"Units 2","ST_PETER_PORT","1095000.00","3","3","true",,"AVAILABLE","Local","Buy","House","-2.5464470","49.4567830"
"Folie Maison","ST_SAMPSON","510000.00","2","1","true",,"AVAILABLE","Local","Buy","Terraced","-2.5345170","49.4726629"
"Tuskamore","ST_SAMPSON","750000.00","4","1",,"true","AVAILABLE","Local","Buy","Bungalow","-2.5397900","49.4868219"
"Queen's View","ST_PETER_PORT","3400000.00","5","5","true","true","AVAILABLE","Open","Buy","House","-2.5496840","49.4527939"
"Le Marron Flats","ST_PETER_PORT","425000.00","2","1",,,"AVAILABLE","Local","Buy","Flat","-2.5468929","49.4690030"
"Les Blancs Bois","CASTEL","560000.00","2","1","true","true","AVAILABLE","Local","Buy","Apartment","-2.5717150","49.4736460"
"Villa Verde","ST_SAVIOUR","650000.00","3","2","true",,"AVAILABLE","Local","Buy","Bungalow","-2.6026739","49.4389698"
"Nautilus","ST_PETER_PORT","835000.00","4","2","true","true","AVAILABLE","Local","Buy","House","-2.5532620","49.4528918"
"3, College Terrace","ST_PETER_PORT","275000.00","1","1",,,"AVAILABLE","Local","Buy","Apartment","-2.5401140","49.4560970"
"Bella’S Rest","ST_SAVIOUR","1195000.00","3","2","true","true","AVAILABLE","Local","Buy","Cottage","-2.6334140","49.4581159"
"2 Round Chimney Cottages","ST_SAMPSON","435000.00","2","1","true",,"AVAILABLE","Local","Buy","Terraced","-2.5246620","49.4832869"
"The Hollies","ST_MARTINS","1495000.00","4","3","true","true","AVAILABLE","Local","Buy","House","-2.5758154","49.4327424"
"Penryn","ST_PETER_PORT","355000.00","2","1",,,"AVAILABLE","Local","Buy","Apartment","-2.5584069","49.4609310"
"One Hayward","ST_MARTINS","845000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5573660","49.4376210"
"Two Hayward House","ST_MARTINS","815000.00",,,"true",,"AVAILABLE","Local","Buy","House","-2.5573177","49.4375829"
"Sunhaven","VALE","625000.00","3","1","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5213142","49.4949787"
"One Hayward House","ST_MARTINS","845000.00",,,"true",,"AVAILABLE","Local","Buy","House","-2.5573177","49.4375829"
"Two Hayward","ST_MARTINS","815000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5573180","49.4376240"
"40","ST_PETER_PORT","575000.00","2","2",,,"AVAILABLE","Local","Buy","Apartment","-2.5376261","49.4512779"
"Silver Sixpence","CASTEL","3250000.00","6","6","true",,"AVAILABLE","Local","Buy","House","-2.6091579","49.4515910"
"Les Amballes Lodge","ST_PETER_PORT","895000.00","5","2","true","true","AVAILABLE","Local","Buy","House","-2.5361614","49.4625709"
"Highbury","ST_SAVIOUR","655000.00","4","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.6334130","49.4578739"
"Jimatomfre","ST_PETER_PORT","655000.00","3","1","true","true","AVAILABLE","Local","Buy","House","-2.5569130","49.4645170"
"Les Eperons","ST_SAVIOUR","565000.00","3","2","true","true","AVAILABLE","Local","Buy","Terraced","-2.6293600","49.4565991"
"Lone Pine","CASTEL","1020000.00","3","2","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5817070","49.4818070"
"Oakleigh Cottage","VALE","560000.00","3","1","true",,"AVAILABLE","Local","Buy","Cottage","-2.5661900","49.4734300"
"The Beehive","ST_PETER_PORT","575000.00","2","2",,,"AVAILABLE","Local","Buy","Apartment","-2.5581733","49.4600766"
"The Beehive","ST_PETER_PORT","525000.00","2","1",,"true","AVAILABLE","Local","Buy","Apartment","-2.5581537","49.4600452"
"Champetre","VALE","950000.00","4","2","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5200279","49.4895780"
"Strawberry Tree Cottage","ST_SAMPSON","1195000.00",,,"true",,"AVAILABLE","Local","Buy","Cottage","-2.5600711","49.4827876"
"Thabani","TORTEVAL","2495000.00","5","4","true","true","AVAILABLE","Local","Buy","House","-2.6590170","49.4323339"
"Serenity","ST_MARTINS","595000.00",,,"true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5629425","49.4236136"
"Samosir","ST_SAVIOUR","1150000.00","5","2","true",,"AVAILABLE","Local","Buy","Apartment","-2.6267090","49.4424818"
"Notre Demeure","ST_PETERS","825000.00","3","2","true","true","AVAILABLE","Local","Buy","House","-2.6144110","49.4295430"
"Le Rocher","ST_SAMPSON","1050000.00",,,"true",,"AVAILABLE","Local","Buy","Cottage","-2.5655746","49.4955299"
"Bramble Lodge","VALE","745000.00",,,"true",,"AVAILABLE","Local","Buy","Cottage","-2.5359181","49.4926786"
"Les Amballes Development","ST_PETER_PORT","395000.00",,,"true",,"AVAILABLE","Local","Buy","House","-2.5361690","49.4622200"
"Kiln Cottage","ST_MARTINS","715000.00","3","1","true",,"AVAILABLE","Local","Buy","Cottage","-2.5630440","49.4318208"
"Lorne House","ST_MARTINS","795000.00","4","2","true","true","AVAILABLE","Local","Buy","Semi-Detached","-2.5579265","49.4337038"
"Kings Mills Farm","CASTEL","3100000.00","5","4","true",,"AVAILABLE","Local","Buy","Cottage","-2.6026900","49.4580800"
"Bula","ST_PETER_PORT","484000.00","2","1","true",,"AVAILABLE","Local","Buy","Terraced","-2.5420010","49.4680240"
"Carinya","ST_ANDREW","1275000.00","4","4","true","true","AVAILABLE","Local","Buy","House","-2.5772490","49.4426720"
"Westhaven","ST_PETERS","2400000.00","3","3",,,"AVAILABLE","Open","Buy","House","-2.6439020","49.4472310"
"Les Juliennes","ST_PETERS","2800000.00","5","5","true",,"AVAILABLE","Local","Buy","House","-2.6347000","49.4408730"
"Mon Desir","ST_ANDREW","865000.00",,,"true","true","AVAILABLE","Local","Buy","Bungalow","-2.5756342","49.4535221"
"Airlie Cottage","CASTEL","465000.00","1","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5980099","49.4583190"
"La Campanella","ST_PETER_PORT","1175000.00","5","2","true",,"AVAILABLE","Local","Buy","House","-2.5553241","49.4503464"
"34","ST_PETER_PORT","875000.00","4","3","true",,"AVAILABLE","Local","Buy","House","-2.5376249","49.4526210"
"Three New Houses","ST_SAMPSON","795000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5246368","49.4825900"
"Candie Apartments","ST_PETER_PORT","625000.00","2","2","true","true","AVAILABLE","Local","Buy","Apartment","-2.5398738","49.4583498"
"Les Amballes Development","ST_PETER_PORT","395000.00",,,"true",,"AVAILABLE","Local","Buy","Terraced","-2.5367570","49.4633210"
"Les Amballes Lodge","ST_PETER_PORT","1195000.00","5","2","true","true","AVAILABLE","Local","Buy","Apartment","-2.5367570","49.4633210"
"13","VALE","450000.00","2","2","true",,"AVAILABLE","Local","Buy","House","-2.5214628","49.4887159"
"Shian","CASTEL","1395000.00","5","3","true",,"AVAILABLE","Local","Buy","House","-2.5786340","49.4833380"
"Telmar","VALE","595000.00","2","1","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5647340","49.4752008"
"Dolphin Retreat","ST_SAMPSON","1295000.00","5","3","true","true","AVAILABLE","Local","Buy","House","-2.5672590","49.4929550"
"Northumbria","ST_SAVIOUR","750000.00","3","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.6388500","49.4558480"
"Le Hamel","ST_SAVIOUR","1395000.00",,,"true","true","AVAILABLE","Local","Buy","House","-2.6265192","49.4621625"
"Querencia","ST_PETER_PORT","665000.00","3","1","true","true","AVAILABLE","Local","Buy","House","-2.5526900","49.4639499"
"Wren Cottage","ST_PETER_PORT","475000.00",,,"true",,"AVAILABLE","Local","Buy","Cottage","-2.5363283","49.4627002"
"Vue Des Etoiles","TORTEVAL","1150000.00","5","2","true",,"AVAILABLE","Local","Buy","House","-2.6526869","49.4327430"
"Bali Hai","ST_MARTINS","1075000.00",,,"true","true","AVAILABLE","Local","Buy","Bungalow","-2.5750731","49.4327741"
"Winterfell","ST_SAMPSON","695000.00","3","1","true",,"AVAILABLE","Local","Buy","Cottage","-2.5501900","49.4811929"
"Dieu Donne","ST_MARTINS","715000.00",,,"true",,"AVAILABLE","Local","Buy","House","-2.5554279","49.4376444"
"Elchanan","ST_SAMPSON","735000.00","5","2","true",,"AVAILABLE","Local","Buy","House","-2.5274299","49.4771900"
"Unit 2","ST_PETER_PORT","290000.00",,,,,"AVAILABLE",,"Buy","Office","-2.5387105","49.4524990"
"39, La Picaterre","VALE","520000.00","3","1","true","true","AVAILABLE","Local","Buy","Terraced","-2.5737630","49.4861538"
"Chantilly","ST_SAMPSON","530000.00","4","1","true",,"AVAILABLE","Local","Buy","House","-2.5188340","49.4807980"
"St Michel","ST_MARTINS","895000.00",,,"true",,"AVAILABLE","Local","Buy","House","-2.5560103","49.4416828"
"3, College Terrace","ST_PETER_PORT","195000.00","1","1",,,"AVAILABLE","Local","Buy","Studio","-2.5400659","49.4560740"
"Sunningdale","ST_SAMPSON","1300000.00","5","3","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5401310","49.4814670"
"Magpies Rest","VALE","925000.00","4","2","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5377233","49.4944362"
"Le Preel House","CASTEL","1350000.00","5","4","true","true","AVAILABLE","Local","Buy","House","-2.5836310","49.4589530"
"Le Perquage","CASTEL","745000.00",,,"true","true","AVAILABLE","Local","Buy","House","-2.6032763","49.4711089"
"6","ST_SAMPSON","645000.00","3","1","true",,"AVAILABLE","Local","Buy","House","-2.5293250","49.4773428"
"2 Allanson Court","ST_SAMPSON","695000.00","2","2","true",,"AVAILABLE","Local","Buy","House","-2.5258503","49.4765251"
"Le Petit Houmet","ST_SAMPSON","750000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5342207","49.4732570"
"1 Allanson Court","ST_SAMPSON","715000.00","2","2","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5258845","49.4764900"
"Block A – Allanson Court – Priced From £695","ST_SAMPSON","695000.00","2","2","true",,"AVAILABLE","Local","Buy","Warehouse","-2.5256609","49.4765459"
"18 Allanson Court","ST_SAMPSON","720000.00","2","2","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5261741","49.4763227"
"Block G – Allanson Court – Priced From £695","ST_SAMPSON","695000.00","2","2","true",,"AVAILABLE","Local","Buy","Warehouse","-2.5256609","49.4765559"
"16 Allanson Court","ST_SAMPSON","715000.00","2","2","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5257021","49.4766017"
"3 Allanson Court","ST_SAMPSON","715000.00","2","2","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5257798","49.4766120"
"17 Allanson Court","ST_SAMPSON","695000.00","2","2","true",,"AVAILABLE","Local","Buy","Terraced","-2.5256645","49.4765529"
"Ma Pieche","ST_PETER_PORT","385000.00","2","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5416430","49.4531080"
"Infinity Apartments","ST_PETER_PORT","399000.00",,,"true",,"AVAILABLE","Local","Buy","Apartment","-2.5429773","49.4639589"
"Shemayne","ST_PETER_PORT","499000.00","3","1","true","true","AVAILABLE","Local","Buy","Terraced","-2.5555610","49.4629320"
"La Moye Farm","VALE","995000.00","3","1","true",,"AVAILABLE","Local","Buy","Farm","-2.5120599","49.5007360"
"Moondance","ST_SAVIOUR","745000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.6298430","49.4564348"
"The Woodshed","ST_PETER_PORT","1195000.00","3","2","true",,"AVAILABLE","Local","Buy","House","-2.5522960","49.4612577"
"8","ST_PETER_PORT","610000.00","2","2","true","true","AVAILABLE","Local","Buy","House","-2.5396190","49.4515430"
"The Maisonette","ST_PETER_PORT","545000.00","4","1","true",,"AVAILABLE","Local","Buy","Maisonette","-2.5377139","49.4537728"
"Second Floor Flat","ST_PETER_PORT","255000.00","1","1","true",,"AVAILABLE","Local","Buy","Flat","-2.5419320","49.4542190"
"La Grande Hougue","VALE","3600000.00","5","5","true","true","AVAILABLE","Open","Buy","House","-2.5594524","49.4892200"
"Rockdale","VALE","785000.00","3","3","true",,"AVAILABLE","Local","Buy","Cottage","-2.5074499","49.4954570"
"Longshaw","ST_SAMPSON","815000.00","3","1","true","true","AVAILABLE","Local","Buy","House","-2.5305140","49.4784960"
"Mount Vernon","ST_PETER_PORT","1675000.00","6","3","true",,"AVAILABLE","Local","Buy","House","-2.5439330","49.4567138"
"Colombia","ST_MARTINS","1100000.00",,,"true","true","AVAILABLE","Local","Buy","Bungalow","-2.5629108","49.4357332"
"Arkham","ST_PETER_PORT","465000.00",,,"true","true","AVAILABLE","Local","Buy","Terraced","-2.5489036","49.4590166"
