Name,Parish,Price,Bedrooms,Bathrooms,HasGarden,HasGarage,Status,Market,MarketType,PropertyType,Longitude,Latitude
"Apartment 12","ST_PETER_PORT","510000.00","1","1",,,"AVAILABLE","Local","Buy","Apartment","-2.5471210","49.4567610"
"Carrick House","ST_PETER_PORT","1850000.00","2","2",,,"AVAILABLE","Open","Buy","Apartment","-2.5358160","49.4503259"
"La Croix Paysant","ST_SAVIOUR","1450000.00","6","2","true","true","AVAILABLE","Local","Buy","House","-2.6168900","49.4431190"
"Les Amballes Lodge and Development Site","ST_PETER_PORT","1195000.00","5","2","true","true","AVAILABLE","Local","Buy","House","-2.5361530","49.4622150"
"The Nook","VALE","640000.00","2","1","true","true","AVAILABLE","Local","Buy","House","-2.5753029","49.4869007"
"Les Caches Court","ST_MARTINS","435000.00","2","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5615850","49.4369428"
"Whitesands","CASTEL","805000.00","4","2","true",,"AVAILABLE","Local","Buy","House","-2.5851489","49.4820560"
"Esdale Cottage","ST_SAMPSON","505000.00","2","1","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5679042","49.4899840"
"Wavely","ST_SAMPSON","675000.00","2","1","true",,"AVAILABLE","Local","Buy","House","-2.5459510","49.4891200"
"Little Haven","VALE","795000.00","4","2","true",,"AVAILABLE","Local","Buy","House","-2.5258983","49.4927411"
"La Petite Maison","ST_SAMPSON","665000.00","3","1","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5479246","49.4886433"
"Marina Court","ST_PETER_PORT","400000.00","1","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5345216","49.4600969"
"La Siesta","ST_MARTINS","1250000.00","5","3","true",,"AVAILABLE","Local","Buy","House","-2.5590316","49.4448800"
"La Mignonne","ST_SAMPSON","450000.00","2","1","true","true","AVAILABLE","Local","Buy","Semi-Detached","-2.5272782","49.4762605"
"Pen-Y-Graig","ST_MARTINS","610000.00","3","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5477240","49.4424420"
"White Horses","ST_MARTINS","1300000.00","3","1","true","true","AVAILABLE","Local","Buy","Bungalow","-2.5385290","49.4305049"
